Date,Open,High,Low,Close,Adj Close,Volume
1995-05-02,841.929993,842.820007,839.429993,841.789978,841.789978,348490000
1995-05-03,842.750000,850.270020,842.750000,850.260010,850.260010,398810000
1995-05-04,851.500000,856.789978,846.070007,846.750000,846.750000,421000000
1995-05-05,849.070007,850.789978,842.570007,843.530029,843.530029,331890000
1995-05-08,843.479980,849.840027,842.760010,849.289978,849.289978,320160000
1995-05-09,850.419983,851.890015,845.359985,848.169983,848.169983,381750000
1995-05-10,850.479980,851.989990,845.750000,847.619995,847.619995,380030000
1995-05-11,847.119995,853.840027,846.130005,853.830017,853.830017,390710000
1995-05-12,853.739990,859.880005,852.520020,858.940002,858.940002,404570000
1995-05-15,859.739990,863.390015,857.979980,863.059998,863.059998,350040000
1995-05-16,863.390015,868.859985,862.559998,868.250000,868.250000,382100000
1995-05-17,869.500000,874.510010,869.500000,871.929993,871.929993,404110000
1995-05-18,872.530029,874.440002,864.049988,864.059998,864.059998,388180000
1995-05-19,862.280029,864.830017,858.659973,864.570007,864.570007,337190000
1995-05-22,865.570007,871.580017,865.419983,871.179993,871.179993,344140000
1995-05-23,872.010010,879.659973,872.010010,879.640015,879.640015,414920000
1995-05-24,882.900024,885.919983,875.989990,877.979980,877.979980,439210000
1995-05-25,877.739990,878.760010,871.650024,877.320007,877.320007,381560000
1995-05-26,876.260010,876.260010,870.039978,871.869995,871.869995,302720000
1995-05-30,872.770020,873.700012,857.739990,858.700012,858.700012,320360000
1995-05-31,859.169983,864.580017,851.719971,864.580017,864.580017,376150000
1995-06-01,865.669983,870.210022,864.210022,868.820007,868.820007,354420000
1995-06-02,867.119995,875.119995,863.840027,872.969971,872.969971,351970000
1995-06-05,875.250000,884.179993,875.250000,882.849976,882.849976,372350000
1995-06-06,882.830017,885.830017,879.400024,879.400024,879.400024,387500000
1995-06-07,880.409973,883.059998,878.320007,881.580017,881.580017,378420000
1995-06-08,882.179993,886.299988,882.179993,886.130005,886.130005,378560000
1995-06-09,885.719971,885.789978,880.479980,884.380005,884.380005,382600000
1995-06-12,885.549988,889.330017,885.549988,887.979980,887.979980,352760000
1995-06-13,890.510010,894.229980,890.049988,894.229980,894.229980,402980000
1995-06-14,892.260010,896.280029,891.020020,895.719971,895.719971,421450000
1995-06-15,896.330017,903.859985,896.330017,902.679993,902.679993,412280000
1995-06-16,904.369995,908.650024,904.140015,908.650024,908.650024,403210000
1995-06-19,909.900024,922.090027,909.840027,922.090027,922.090027,407000000
1995-06-20,924.109985,929.849976,924.010010,929.830017,929.830017,444490000
1995-06-21,931.609985,933.750000,926.000000,929.190002,929.190002,455280000
1995-06-22,941.169983,941.169983,931.260010,940.090027,940.090027,474080000
1995-06-23,938.650024,940.099976,936.729980,938.869995,938.869995,447260000
1995-06-26,938.330017,939.140015,926.789978,926.979980,926.979980,384980000
1995-06-27,925.190002,928.619995,918.890015,919.559998,919.559998,417490000
1995-06-28,918.080017,921.989990,913.020020,920.520020,920.520020,395320000
1995-06-29,921.039978,927.780029,919.880005,926.809998,926.809998,368600000
1995-06-30,928.020020,934.030029,928.020020,933.450012,933.450012,402140000
1995-07-03,933.989990,935.330017,931.989990,934.530029,934.530029,130770000
1995-07-05,937.049988,943.479980,937.049988,941.820007,941.820007,370320000
1995-07-06,943.320007,953.000000,942.590027,952.929993,952.929993,425540000
1995-07-07,952.900024,969.770020,952.640015,969.760010,969.760010,512200000
1995-07-10,970.409973,977.840027,970.109985,976.630005,976.630005,457320000
1995-07-11,975.390015,975.530029,970.200012,970.219971,970.219971,443750000
1995-07-12,975.900024,988.710022,975.770020,988.630005,988.630005,514470000
